ファイル名,問題番号,IRT困難度_300尺度,IRT困難度_theta換算,識別力_300尺度,識別力_theta換算,推定誤差_300尺度,推定誤差_theta換算,識別力の推定誤差_300尺度,識別力の推定誤差_theta換算
m-jh1-A-01-01b.txt,問題1,4.0,0.080,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-01b.txt,問題2,7.0,0.140,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-01b.txt,問題3,10.0,0.200,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-01b.txt,問題4,13.0,0.260,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-01b.txt,問題5,16.0,0.320,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-01b.txt,問題6,19.0,0.380,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-01b.txt,問題7,22.0,0.440,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-01b.txt,問題8,25.0,0.500,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-01s.txt,問題1,20.6,0.412,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-01-01s.txt,問題2,23.6,0.472,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-01-01s.txt,問題3,26.6,0.532,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-01-02b.txt,問題1,5.1,0.102,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-02b.txt,問題2,8.1,0.162,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-02b.txt,問題3,11.1,0.222,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-03b.txt,問題1,5.7,0.114,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-03b.txt,問題2,8.7,0.174,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-03b.txt,問題3,11.7,0.234,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-04b.txt,問題1,6.3,0.126,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-04b.txt,問題2,9.3,0.186,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-04b.txt,問題3,12.3,0.246,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-04b.txt,問題4,15.3,0.306,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-04b.txt,問題5,18.3,0.366,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-04b.txt,問題6,21.3,0.426,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-05b.txt,問題1,6.8,0.136,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-05b.txt,問題2,9.8,0.196,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-05b.txt,問題3,12.8,0.256,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-05b.txt,問題4,15.8,0.316,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-05b.txt,問題5,18.8,0.376,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-05b.txt,問題6,21.8,0.436,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-05b.txt,問題7,24.8,0.496,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-05b.txt,問題8,27.8,0.556,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-05s.txt,問題1,23.4,0.468,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-01-05s.txt,問題2,26.4,0.528,0.0162,0.810,20.0,0.400,0.0042,0.210
