生成ファイル名,参照元プロンプト,生成番号,IRT参照問題番号,照合状態
m-jh2-A-01-02b-03.txt,m-jh2-A-01-02b.txt,03,問題1,cycled
m-jh2-A-01-02b-04.txt,m-jh2-A-01-02b.txt,04,問題2,cycled
m-jh2-A-01-03b-03.txt,m-jh2-A-01-03b.txt,03,問題1,cycled
m-jh2-A-01-03b-04.txt,m-jh2-A-01-03b.txt,04,問題2,cycled
m-jh2-A-01-04b-04.txt,m-jh2-A-01-04b.txt,04,問題1,cycled
m-jh2-A-01-04s-03.txt,m-jh2-A-01-04s.txt,03,問題1,cycled
m-jh2-A-01-04s-04.txt,m-jh2-A-01-04s.txt,04,問題2,cycled
m-jh2-A-01-05b-03.txt,m-jh2-A-01-05b.txt,03,問題1,cycled
m-jh2-A-01-05b-04.txt,m-jh2-A-01-05b.txt,04,問題2,cycled
m-jh2-A-01-05s-03.txt,m-jh2-A-01-05s.txt,03,問題1,cycled
m-jh2-A-01-05s-04.txt,m-jh2-A-01-05s.txt,04,問題2,cycled
m-jh2-A-01-06b-03.txt,m-jh2-A-01-06b.txt,03,問題1,cycled
m-jh2-A-01-06b-04.txt,m-jh2-A-01-06b.txt,04,問題2,cycled
m-jh2-A-01-06s-03.txt,m-jh2-A-01-06s.txt,03,問題1,cycled
m-jh2-A-01-06s-04.txt,m-jh2-A-01-06s.txt,04,問題2,cycled
m-jh2-A-01-07b-03.txt,m-jh2-A-01-07b.txt,03,問題1,cycled
m-jh2-A-01-07b-04.txt,m-jh2-A-01-07b.txt,04,問題2,cycled
m-jh2-A-01-07s-03.txt,m-jh2-A-01-07s.txt,03,問題1,cycled
m-jh2-A-01-07s-04.txt,m-jh2-A-01-07s.txt,04,問題2,cycled
m-jh2-A-01-08b-03.txt,m-jh2-A-01-08b.txt,03,問題1,cycled
m-jh2-A-01-08b-04.txt,m-jh2-A-01-08b.txt,04,問題2,cycled
m-jh2-A-01-08s-03.txt,m-jh2-A-01-08s.txt,03,問題1,cycled
m-jh2-A-01-08s-04.txt,m-jh2-A-01-08s.txt,04,問題2,cycled
m-jh2-A-01-09b-03.txt,m-jh2-A-01-09b.txt,03,問題1,cycled
m-jh2-A-01-09b-04.txt,m-jh2-A-01-09b.txt,04,問題2,cycled
m-jh2-A-01-09s-03.txt,m-jh2-A-01-09s.txt,03,問題1,cycled
m-jh2-A-01-09s-04.txt,m-jh2-A-01-09s.txt,04,問題2,cycled
m-jh2-A-01-10b-04.txt,m-jh2-A-01-10b.txt,04,問題1,cycled
m-jh2-A-01-10s-03.txt,m-jh2-A-01-10s.txt,03,問題1,cycled
m-jh2-A-01-10s-04.txt,m-jh2-A-01-10s.txt,04,問題2,cycled
m-jh2-A-01-11b-03.txt,m-jh2-A-01-11b.txt,03,問題1,cycled
m-jh2-A-01-11b-04.txt,m-jh2-A-01-11b.txt,04,問題2,cycled
m-jh2-A-01-11s-03.txt,m-jh2-A-01-11s.txt,03,問題1,cycled
m-jh2-A-01-11s-04.txt,m-jh2-A-01-11s.txt,04,問題2,cycled
m-jh2-A-01-12b-03.txt,m-jh2-A-01-12b.txt,03,問題1,cycled
m-jh2-A-01-12b-04.txt,m-jh2-A-01-12b.txt,04,問題2,cycled
m-jh2-A-01-12s-03.txt,m-jh2-A-01-12s.txt,03,問題1,cycled
m-jh2-A-01-12s-04.txt,m-jh2-A-01-12s.txt,04,問題2,cycled
m-jh2-A-01-13b-03.txt,m-jh2-A-01-13b.txt,03,問題1,cycled
m-jh2-A-01-13b-04.txt,m-jh2-A-01-13b.txt,04,問題2,cycled
m-jh2-A-01-13s-03.txt,m-jh2-A-01-13s.txt,03,問題1,cycled
m-jh2-A-01-13s-04.txt,m-jh2-A-01-13s.txt,04,問題2,cycled
m-jh2-A-02-01b-03.txt,m-jh2-A-02-01b.txt,03,問題1,cycled
m-jh2-A-02-01b-04.txt,m-jh2-A-02-01b.txt,04,問題2,cycled
m-jh2-A-02-01s-03.txt,m-jh2-A-02-01s.txt,03,問題1,cycled
m-jh2-A-02-01s-04.txt,m-jh2-A-02-01s.txt,04,問題2,cycled
m-jh2-A-02-02b-03.txt,m-jh2-A-02-02b.txt,03,問題1,cycled
m-jh2-A-02-02b-04.txt,m-jh2-A-02-02b.txt,04,問題2,cycled
m-jh2-A-02-02s-03.txt,m-jh2-A-02-02s.txt,03,問題1,cycled
m-jh2-A-02-02s-04.txt,m-jh2-A-02-02s.txt,04,問題2,cycled
m-jh2-A-02-03b-04.txt,m-jh2-A-02-03b.txt,04,問題1,cycled
m-jh2-A-02-03s-03.txt,m-jh2-A-02-03s.txt,03,問題1,cycled
m-jh2-A-02-03s-04.txt,m-jh2-A-02-03s.txt,04,問題2,cycled
m-jh2-A-03-01s-03.txt,m-jh2-A-03-01s.txt,03,問題1,cycled
m-jh2-A-03-01s-04.txt,m-jh2-A-03-01s.txt,04,問題2,cycled
m-jh2-A-03-02b-03.txt,m-jh2-A-03-02b.txt,03,問題1,cycled
m-jh2-A-03-02b-04.txt,m-jh2-A-03-02b.txt,04,問題2,cycled
m-jh2-A-03-02s-03.txt,m-jh2-A-03-02s.txt,03,問題1,cycled
m-jh2-A-03-02s-04.txt,m-jh2-A-03-02s.txt,04,問題2,cycled
m-jh2-A-03-03b-03.txt,m-jh2-A-03-03b.txt,03,問題1,cycled
m-jh2-A-03-03b-04.txt,m-jh2-A-03-03b.txt,04,問題2,cycled
m-jh2-A-03-03s-03.txt,m-jh2-A-03-03s.txt,03,問題1,cycled
m-jh2-A-03-03s-04.txt,m-jh2-A-03-03s.txt,04,問題2,cycled
m-jh2-A-03-04b-03.txt,m-jh2-A-03-04b.txt,03,問題1,cycled
