ファイル名,学年,単元名,項目名,IRT困難度_300尺度,IRT困難度_theta換算,識別力_300尺度,識別力_theta換算,推定誤差_300尺度,推定誤差_theta換算,識別力の推定誤差_300尺度,識別力の推定誤差_theta換算,学習前提単元名,学習前提項目名
m-jh1-A-01-01b-01.txt,中学1年,正と負の数,正と負,4.0,0.080,0.0140,0.700,18.0,0.360,0.0038,0.190,,
m-jh1-A-01-01b-02.txt,中学1年,正と負の数,正と負,7.0,0.140,0.0144,0.720,18.0,0.360,0.0038,0.190,,
m-jh1-A-01-01s-01.txt,中学1年,正と負の数,正と負,20.6,0.412,0.0158,0.790,20.0,0.400,0.0042,0.210,,
m-jh1-A-01-01s-02.txt,中学1年,正と負の数,正と負,23.6,0.472,0.0162,0.810,20.0,0.400,0.0042,0.210,,
m-jh1-A-01-02b-01.txt,中学1年,正と負の数,正の数と負の数を量で表す,5.1,0.102,0.0140,0.700,18.0,0.360,0.0038,0.190,正と負の数,正と負
m-jh1-A-01-02b-02.txt,中学1年,正と負の数,正の数と負の数を量で表す,8.1,0.162,0.0144,0.720,18.0,0.360,0.0038,0.190,正と負の数,正と負
m-jh1-A-01-03b-01.txt,中学1年,正と負の数,数の大小と不等号,5.7,0.114,0.0140,0.700,18.0,0.360,0.0038,0.190,正と負の数,正と負
m-jh1-A-01-03b-02.txt,中学1年,正と負の数,数の大小と不等号,8.7,0.174,0.0144,0.720,18.0,0.360,0.0038,0.190,正と負の数,正と負
m-jh1-A-01-04b-01.txt,中学1年,正と負の数,絶対値,6.3,0.126,0.0140,0.700,18.0,0.360,0.0038,0.190,正と負の数；正と負の数,正と負；数の大小と不等号
m-jh1-A-01-04b-02.txt,中学1年,正と負の数,絶対値,9.3,0.186,0.0144,0.720,18.0,0.360,0.0038,0.190,正と負の数；正と負の数,正と負；数の大小と不等号
m-jh1-A-01-05b-01.txt,中学1年,加法と減法,正と負の数の加法,6.8,0.136,0.0140,0.700,18.0,0.360,0.0038,0.190,正と負の数；正と負の数,正と負；絶対値
m-jh1-A-01-05b-02.txt,中学1年,加法と減法,正と負の数の加法,9.8,0.196,0.0144,0.720,18.0,0.360,0.0038,0.190,正と負の数；正と負の数,正と負；絶対値
m-jh1-A-01-05s-01.txt,中学1年,加法と減法,正と負の数の加法,23.4,0.468,0.0158,0.790,20.0,0.400,0.0042,0.210,正と負の数；正と負の数,正と負；絶対値
m-jh1-A-01-05s-02.txt,中学1年,加法と減法,正と負の数の加法,26.4,0.528,0.0162,0.810,20.0,0.400,0.0042,0.210,正と負の数；正と負の数,正と負；絶対値
m-jh1-A-01-06b-01.txt,中学1年,加法と減法,加法の交換法則・結合法則,8.0,0.160,0.0140,0.700,18.0,0.360,0.0038,0.190,加法と減法,正と負の数の加法
m-jh1-A-01-06b-02.txt,中学1年,加法と減法,加法の交換法則・結合法則,11.0,0.220,0.0144,0.720,18.0,0.360,0.0038,0.190,加法と減法,正と負の数の加法
m-jh1-A-01-06s-01.txt,中学1年,加法と減法,加法の交換法則・結合法則,24.5,0.490,0.0158,0.790,20.0,0.400,0.0042,0.210,加法と減法,正と負の数の加法
m-jh1-A-01-06s-02.txt,中学1年,加法と減法,加法の交換法則・結合法則,27.5,0.550,0.0162,0.810,20.0,0.400,0.0042,0.210,加法と減法,正と負の数の加法
m-jh1-A-01-07b-01.txt,中学1年,加法と減法,正と負の数の減法,9.1,0.182,0.0140,0.700,18.0,0.360,0.0038,0.190,加法と減法,正と負の数の加法
m-jh1-A-01-07b-02.txt,中学1年,加法と減法,正と負の数の減法,12.1,0.242,0.0144,0.720,18.0,0.360,0.0038,0.190,加法と減法,正と負の数の加法
m-jh1-A-01-07s-01.txt,中学1年,加法と減法,正と負の数の減法,25.7,0.514,0.0158,0.790,20.0,0.400,0.0042,0.210,加法と減法,正と負の数の加法
m-jh1-A-01-07s-02.txt,中学1年,加法と減法,正と負の数の減法,28.7,0.574,0.0162,0.810,20.0,0.400,0.0042,0.210,加法と減法,正と負の数の加法
m-jh1-A-01-08b-01.txt,中学1年,加法と減法,加法と減法の混合,10.2,0.204,0.0140,0.700,18.0,0.360,0.0038,0.190,加法と減法；加法と減法,加法の交換法則・結合法則；正と負の数の減法
m-jh1-A-01-08b-02.txt,中学1年,加法と減法,加法と減法の混合,13.2,0.264,0.0144,0.720,18.0,0.360,0.0038,0.190,加法と減法；加法と減法,加法の交換法則・結合法則；正と負の数の減法
m-jh1-A-01-08s-01.txt,中学1年,加法と減法,加法と減法の混合,26.8,0.536,0.0158,0.790,20.0,0.400,0.0042,0.210,加法と減法；加法と減法,加法の交換法則・結合法則；正と負の数の減法
m-jh1-A-01-08s-02.txt,中学1年,加法と減法,加法と減法の混合,29.8,0.596,0.0162,0.810,20.0,0.400,0.0042,0.210,加法と減法；加法と減法,加法の交換法則・結合法則；正と負の数の減法
m-jh1-A-01-09b-01.txt,中学1年,乗法と除法,正と負の数の乗法,11.3,0.226,0.0140,0.700,18.0,0.360,0.0038,0.190,正と負の数；正と負の数,正と負；絶対値
m-jh1-A-01-09b-02.txt,中学1年,乗法と除法,正と負の数の乗法,14.3,0.286,0.0144,0.720,18.0,0.360,0.0038,0.190,正と負の数；正と負の数,正と負；絶対値
m-jh1-A-01-09s-01.txt,中学1年,乗法と除法,正と負の数の乗法,27.9,0.558,0.0158,0.790,20.0,0.400,0.0042,0.210,正と負の数；正と負の数,正と負；絶対値
m-jh1-A-01-09s-02.txt,中学1年,乗法と除法,正と負の数の乗法,30.9,0.618,0.0162,0.810,20.0,0.400,0.0042,0.210,正と負の数；正と負の数,正と負；絶対値
m-jh1-A-01-10b-01.txt,中学1年,乗法と除法,乗法の交換法則・結合法則,12.5,0.250,0.0140,0.700,18.0,0.360,0.0038,0.190,乗法と除法,正と負の数の乗法
m-jh1-A-01-10b-02.txt,中学1年,乗法と除法,乗法の交換法則・結合法則,15.5,0.310,0.0144,0.720,18.0,0.360,0.0038,0.190,乗法と除法,正と負の数の乗法
m-jh1-A-01-10s-01.txt,中学1年,乗法と除法,乗法の交換法則・結合法則,29.0,0.580,0.0158,0.790,20.0,0.400,0.0042,0.210,乗法と除法,正と負の数の乗法
